"subj_code","trial_index","task","stimulus","rules_scen","rules_rule","rules_question","rules_textviolation","rules_purposeviolation","rules_violationtype","rules_yeskey","response_input","rules_response_verbal","rules_response_num","rt","stroopflanker_correct_resp","stroop_color","stroop_text","stroopflanker_correct","congruent","flanker_direction"
"ZyEayYnQuirQ",35,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab member stays after work and gets drunk in the laboratory.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A lab member stays after work and gets drunk in the laboratory.",0,1,"under","e","e","yes",1,3890,"","","","","incongruent",""
"ZyEayYnQuirQ",37,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A student enters the laboratory to observe the scientists' work.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A student enters the laboratory to observe the scientists' work.",1,1,"core","e","e","yes",1,6384,"","","","","congruent",""
"ZyEayYnQuirQ",39,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab scientist performs a risky task while feeling dizzy and tired.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A lab scientist performs a risky task while feeling dizzy and tired.",0,1,"under","e","i","no",0,2131,"","","","","incongruent",""
"ZyEayYnQuirQ",41,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A thief enters the laboratory overnight to find and steal equipment.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A thief enters the laboratory overnight to find and steal equipment.",1,1,"core","e","e","yes",1,1401,"","","","","congruent",""
"ZyEayYnQuirQ",43,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A tourist walks past the laboratory on his way to the wax museum.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A tourist walks past the laboratory on his way to the wax museum.",0,0,"off","e","i","no",0,1382,"","","","","congruent",""
"ZyEayYnQuirQ",45,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A member of the public walks past the laboratory while going home.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A member of the public walks past the laboratory while going home.",0,0,"off","e","i","no",0,1664,"","","","","congruent",""
"ZyEayYnQuirQ",47,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A recently retired scientist returns to collect his briefcase.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A recently retired scientist returns to collect his briefcase.",1,0,"over","e","e","yes",1,2217,"","","","","incongruent",""
"ZyEayYnQuirQ",49,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab member spends the night sleeping on fragile lab equipment.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A lab member spends the night sleeping on fragile lab equipment.",0,1,"under","e","i","no",0,1458,"","","","","incongruent",""
"ZyEayYnQuirQ",51,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A skilled technician enters the lab to discuss a job opening.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","A skilled technician enters the lab to discuss a job opening.",1,0,"over","e","i","no",0,3485,"","","","","incongruent",""
"ZyEayYnQuirQ",53,"rules","To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>An amateur scientist enters the laboratory to take photographs.</b><br>","auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","An amateur scientist enters the laboratory to take photographs.",1,1,"core","e","e","yes",1,2344,"","","","","congruent",""
