"subj_code","theory_question_binary","theory_question_bipolar","theory_question_bipolar_num"
"Nj3ZpaMpFs54","letter","more letter than spirit","2"
"jYfCVl0RZyAS","letter","mostly letter","1"
"IuuBcTs2Vr8X","letter","more spirit than letter","4"
"UZfVGGPxiyRz","spirit","more spirit than letter","4"
"R2CDc0OKtxpg","spirit","mostly spirit","5"
"Gu2Lyq94PJhu","spirit","mostly spirit","5"
"EJW7lTCUwgCP","letter","mostly spirit","5"
"rkuEBSItXouZ","letter","mostly letter","1"
"mVmeNMqwHaIC","letter","mostly letter","1"
"oIVn57ddmazE","letter","more letter than spirit","2"
"ILgQw0xD0kAA","letter","mostly spirit","5"
"vOf9N6nbkDp5","spirit","mostly spirit","5"
"QeObdltRQEny","letter","more letter than spirit","2"
"g07Nd9DGExJn","letter","mostly letter","1"
"4T5SuQX7MrQo","letter","mostly spirit","5"
"6IEZT72kXl7M","spirit","mostly spirit","5"
"ACgg0uqjMJq6","letter","both equally","3"
"OlpT1s4BnPT4","letter","more letter than spirit","2"
"qRnQ37IUhsmS","spirit","more spirit than letter","4"
"oFxsXVWG4lZb","letter","more letter than spirit","2"
"1l7f01a2bct0","letter","more spirit than letter","4"
"WuFbFK8a0Nvz","letter","only letter","0"
"w8s8niNep8rH","spirit","more spirit than letter","4"
"P8RzZCWr2XhB","spirit","more spirit than letter","4"
"D63Qiy5Gw9bJ","spirit","mostly spirit","5"
"YYqR5MUvatvw","spirit","more spirit than letter","4"
"GZVZeTXUn8Xm","spirit","more spirit than letter","4"
"hlVMJLRdcZ2f","letter","more letter than spirit","2"
"CN0xmVj4Wicu","letter","mostly letter","1"
"ae6qUFXd0hBD","letter","more letter than spirit","2"
"7Ugdx0lsFxUG","letter","only spirit","6"
"wDIgeWMZdRIk","letter","more letter than spirit","2"
"zbqpUFsWoQce","letter","more letter than spirit","2"
"aO7wOsIOe7N0","spirit","both equally","3"
"I9WrYDcI3Hap","letter","mostly letter","1"
"DbZ08eZAHme9","spirit","both equally","3"
"YeMbBnQ4o3O7","letter","only letter","0"
"WDz6rhMzkDbT","spirit","more spirit than letter","4"
"aSK5mtaFj421","spirit","mostly spirit","5"
"ILCtZSDFjmYg","letter","both equally","3"
"47Y9w1hVl1UC","spirit","mostly spirit","5"
"Ku4P8QvpmjDx","spirit","more spirit than letter","4"
"685aA6uUW1fo","spirit","more spirit than letter","4"
"PtcGsHbS7aNk","letter","more letter than spirit","2"
"X0xdfQ1WJbYQ","letter","only letter","0"
"TRP7lc2ojopa","spirit","more spirit than letter","4"
"LP2E5Ju1a1te","spirit","mostly spirit","5"
"cynZ2eAWJ4hD","spirit","mostly spirit","5"
"Umpmxvqq5skj","spirit","mostly spirit","5"
"GgCHnSTclVih","letter","mostly letter","1"
"NG3V6ZHv0KAu","letter","more letter than spirit","2"
"hFD7OyG8N5DW","letter","more letter than spirit","2"
"W9Q8kUm7mSZX","letter","only letter","0"
"N2OrPC9UPGXl","letter","more letter than spirit","2"
"W31xvRtHVVdX","letter","both equally","3"
"HZ27CFsx6chO","letter","mostly spirit","5"
"ifGhaPItHhml","spirit","more spirit than letter","4"
"ZV6AnqpFXRcH","letter","only letter","0"
"OJFWqypGlNS7","spirit","mostly spirit","5"
"TMPzRunzJlgY","spirit","more spirit than letter","4"
"j7His6OyiQ5S","letter","more letter than spirit","2"
"gHQSIbEUhxsr","letter","more letter than spirit","2"
"a8vYJGR6irUZ","spirit","only spirit","6"
"4wmHiE5ejv6N","spirit","both equally","3"
"LwNlRYQNpotZ","spirit","both equally","3"
"9KPSPNgaBus5","letter","more letter than spirit","2"
"Uv43LNuTr5kI","spirit","mostly spirit","5"
"hvKfM8MdQuHa","letter","mostly spirit","5"
"Huq98wdx9idV","spirit","more spirit than letter","4"
"e7SOxMnnXyXU","letter","more letter than spirit","2"
"WcDoeD2Gb8Ts","spirit","mostly spirit","5"
"y0pi3DRDa4OZ","letter","more spirit than letter","4"
"sDSw3p4evTd5","letter","mostly letter","1"
"dyYYH6J2hXHi","letter","more spirit than letter","4"
"CmQ8IKtNZGbt","spirit","mostly spirit","5"
"9TPGnAW1RWVx","spirit","mostly spirit","5"
"5b2OxTp3OLHh","spirit","mostly spirit","5"
"kBdYC3xLSXe9","letter","mostly spirit","5"
"2AjcOElvitlh","spirit","both equally","3"
"nOHSQ16dg6ii","spirit","only spirit","6"
"nLRvjcAoS62A","letter","mostly letter","1"
"F9IXv9OgKcXt","letter","both equally","3"
"1preCfPOfYCp","letter","more letter than spirit","2"
"iZxeCPqcWRoN","letter","mostly letter","1"
"lBrcUC0OsQtu","letter","both equally","3"
"EgqWcuKTfT0C","spirit","more spirit than letter","4"
"Oug83bXCtcwT","spirit","both equally","3"
"TR4p34hU89LN","letter","more letter than spirit","2"
"2UBxufFecKDK","spirit","both equally","3"
"Rdf7o3G8gFpY","letter","mostly spirit","5"
"6y2Bm8ntgfvU","letter","more letter than spirit","2"
"G7jfb0YbtsRB","letter","more letter than spirit","2"
"P0Hkso3aM3hO","spirit","more spirit than letter","4"
"Qbado4BwFALf","letter","both equally","3"
"HNvzoHqUv8H0","letter","mostly letter","1"
"oe6aYSJYLiXw","letter","more letter than spirit","2"
"Oi36PYNNRUKG","letter","mostly spirit","5"
"1Od1N5fsOwOl","spirit","mostly spirit","5"
"gz1pIlQ9gmfi","letter","mostly letter","1"
"LTKUkPGv2nUf","letter","more letter than spirit","2"
"BO75M8AbS9nm","letter","mostly letter","1"
"dQs72hBKgIOw","spirit","more spirit than letter","4"
"Bz8rs1V1OVPP","letter","only letter","0"
"1AveddRz4x2C","spirit","mostly spirit","5"
"wbWzSuYXeoTi","letter","more letter than spirit","2"
"tWL5aknCtk4G","letter","mostly letter","1"
"n3klu8j0T7eW","letter","both equally","3"
"nI66umK9ULD2","letter","more letter than spirit","2"
"CyBSXXySWzpr","spirit","both equally","3"
"UWXI6UUu4Gq8","spirit","both equally","3"
"LSmUu4nb1tFF","spirit","more spirit than letter","4"
"wCU4mkXzf53G","spirit","mostly spirit","5"
"ydZ4vVvQTret","spirit","mostly spirit","5"
"Gr3NSE4e2rvD","spirit","more spirit than letter","4"
"4yn6pHCJNnrN","letter","more letter than spirit","2"
"GLXF2mDoLkGd","letter","more letter than spirit","2"
"9OrkXX3unDXd","spirit","mostly letter","1"
"BcdoTEHRY3xa","letter","both equally","3"
"uo0trEGDmEhc","letter","both equally","3"
"TE02JsDbUzjl","spirit","more spirit than letter","4"
"fSnsXsDkfBzG","letter","only letter","0"
"NyfOsp7cIeh7","letter","more spirit than letter","4"
"GI9iqdFkczxU","spirit","more spirit than letter","4"
"FfHzPjjZwzK0","spirit","more spirit than letter","4"
"mB3gcoRdMWWu","letter","both equally","3"
"ZfS76ahXSNho","letter","more letter than spirit","2"
"Ny6G7yZxbyMz","spirit","mostly spirit","5"
"5I0SEnShcqVk","spirit","mostly spirit","5"
"GzxTroqX26eF","spirit","more spirit than letter","4"
"oO8C4ITG3dXU","letter","mostly letter","1"
"CJNqX1Mn7b4K","letter","more letter than spirit","2"
"zYgDN9iuQ5t8","spirit","mostly spirit","5"
"1xJCvkfp3wFv","spirit","mostly spirit","5"
"28fobu6p7pUV","letter","both equally","3"
"AdKKAfPNn2k2","spirit","mostly spirit","5"
"wSGu86dJOOzI","letter","both equally","3"
"hPvx7ucJpQdB","letter","mostly letter","1"
"prSGeS9jpXzt","letter","mostly letter","1"
"DKN2h81yM1ol","spirit","mostly spirit","5"
"14vuX4pCVds2","spirit","mostly spirit","5"
"Nlg0WwsUC6v3","letter","mostly letter","1"
"CPJOJSq9IJ0l","letter","mostly letter","1"
"UEFONqlq2VhL","letter","more letter than spirit","2"
"5ZENXm4fpr4P","letter","mostly letter","1"
"547MdGalBupc","spirit","mostly spirit","5"
"jU7ykGTIlJy4","letter","mostly letter","1"
"cTwoJmvnKeS8","spirit","only spirit","6"
"Adk0VPLjfOXl","spirit","more spirit than letter","4"
"enp3Uhzm5eTZ","letter","more spirit than letter","4"
"av3q2X0oMY7I","letter","more letter than spirit","2"
"6KfsvGwG0paq","letter","mostly letter","1"
"7ftFH4OIvjKS","letter","mostly letter","1"
"4AkbctWXJgdq","letter","both equally","3"
"1us4H93ys3mA","letter","more letter than spirit","2"
"PMkztqhIl9KL","spirit","mostly spirit","5"
"UP0UPm7UkbcF","spirit","both equally","3"
"1vV8lKh0sGUv","letter","both equally","3"
"wpOW0psKanMM","letter","only letter","0"
"6qmlxvmlWxiO","letter","more letter than spirit","2"
"gZ7Phpp763x4","letter","more letter than spirit","2"
"MhnRJIFdsju8","letter","more letter than spirit","2"
"2fEaFcLdgUyx","letter","only letter","0"
"OxvljyWFXW6x","letter","mostly letter","1"
"xbGs1ihFCMyd","letter","both equally","3"
"10p4LnloVX5i","letter","more letter than spirit","2"
"LGGETrmOiNHU","spirit","more spirit than letter","4"
"rLXbe6eNU7Aj","letter","only letter","0"
"F2t53Sy3P1j8","letter","more letter than spirit","2"
"opPKu37uHJTa","letter","more letter than spirit","2"
"APyzj4YYIgfP","letter","both equally","3"
"v92JlPahdRLr","letter","more letter than spirit","2"
"6xZDvMPD6pjJ","letter","both equally","3"
"MGS1VcpWShbL","letter","mostly letter","1"
"Iu4u01a6HPBf","spirit","only spirit","6"
"qwZUbb0W5WmO","letter","mostly letter","1"
"3uWpiNPrSJYa","letter","mostly letter","1"
"SJaf51zSAKdE","letter","more letter than spirit","2"
"SWKC8LQyPp6S","letter","more letter than spirit","2"
"NmQJUVJYkdr6","letter","mostly letter","1"
"Jzoo3c6lUQ0F","letter","more letter than spirit","2"
"oxwBjyksWjDi","letter","more letter than spirit","2"
"u9bVilZrW5ev","letter","mostly letter","1"
"JOAbuEGiF8qY","spirit","mostly spirit","5"
"l2JHltNO42Rk","letter","more letter than spirit","2"
"xU3KsQG7W3lD","letter","both equally","3"
"xzgdLSg9qRgq","letter","more spirit than letter","4"
"VkwS4RmNynEi","letter","more spirit than letter","4"
"HoqcYYWdcbel","letter","mostly letter","1"
"VmJG1lrpoJbj","letter","mostly letter","1"
"QNdbKwkJgGnb","letter","more letter than spirit","2"
"ggGALzx156hg","letter","mostly letter","1"
"wY2tNzptfqjc","letter","both equally","3"
"ulyubaBR1iyf","spirit","only spirit","6"
"rA7Zkso7PYCo","spirit","more spirit than letter","4"
"60rzmAkTDfne","spirit","more spirit than letter","4"
"6b5TbAwz0cUU","spirit","more spirit than letter","4"
"SwlJ3TkagUxh","letter","mostly letter","1"
"JZLhMqGAjKyU","spirit","mostly spirit","5"
"KKXevTupONXI","spirit","mostly spirit","5"
"ENdiznugWqq5","spirit","more spirit than letter","4"
"jWV7zqUiQIdF","letter","mostly spirit","5"
"qJDHmOyFx4u7","letter","more letter than spirit","2"
"kSErXtNtroTv","letter","both equally","3"
"Y9yUnLMDuS1W","letter","more letter than spirit","2"
"R8m8APp3jYyD","spirit","both equally","3"
"08JJa6IWBq28","letter","mostly letter","1"
"24vh2XFtmrX9","spirit","more spirit than letter","4"
"qZKNYH4Bx6X2","spirit","both equally","3"
"QPd601HKJ2UU","letter","both equally","3"
"gxU3qwNqxtVm","spirit","more spirit than letter","4"
"LMmPEFW6dMSX","letter","mostly letter","1"
"ZB29DI3LQnwi","spirit","more spirit than letter","4"
"rgcGulTra4H7","letter","more letter than spirit","2"
"Tm5TCYGWR4lg","spirit","more letter than spirit","2"
"thR928sqwPqC","letter","mostly letter","1"
