scen;rule;question;text;purpose;conflict;type
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A thief enters the laboratory overnight to find and steal equipment.;1;1;0;core
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A member of the public walks past the laboratory while going home.;0;0;0;off
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A recently retired scientist returns to collect his briefcase.;1;0;1;over
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A skilled technician enters the lab to discuss a job opening.;1;0;1;over
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab hiree visits the lab a week before her contract starts.;1;0;1;over
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A retired scientist visits the lab to offer advice to new hirees.;1;0;1;over
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A firefighter enters the lab to put out an impending fire.;1;0;1;over
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab scientist causes a safety hazard to spite his boss.;0;1;1;under
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab scientist performs a risky task while feeling dizzy and tired.;0;1;1;under
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab member stays after work and gets drunk in the laboratory.;0;1;1;under
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab member misuses hazardous equipment in a fit of rage.;0;1;1;under
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A lab member spends the night sleeping on fragile lab equipment.;0;1;1;under
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A group of solicitors enter the laboratory to discuss religion.;1;1;0;core
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A friendly neighbor enters the laboratory to greet the scientists.;1;1;0;core
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";An amateur scientist enters the laboratory to take photographs.;1;1;0;core
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A student enters the laboratory to observe the scientists' work.;1;1;0;core
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A scientist working at the laboratory starts a new experiment.;0;0;0;off
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A solicitor discusses religion across the street from the lab.;0;0;0;off
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A curious neighbor photographs the lab building from the outside.;0;0;0;off
auth;"To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".";A tourist walks past the laboratory on his way to the wax museum.;0;0;0;off
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A red party limo drives through the park at the DJ's request.;1;1;0;core
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A person jogs through the park to get some daily exercise.;0;0;0;off
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";An artist installs a race car in the park to honor local heroes.;1;0;1;over
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A landscaper parks a truck in the park to remove a tree.;1;0;1;over
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A man drives a tow-truck slowly into the park to remove a car.;1;0;1;over
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A child drives a toy car in the park led by his mother.;1;0;1;over
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A stunt driver speeds around the park while it is closed off.;1;0;1;over
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A motorized hang glider lands on the park's main walkway.;0;1;1;under
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A person speeds through the park in their electric scooter.;0;1;1;under
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A team of skaters speed down the park hill on a busy day.;0;1;1;under
cars;"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".";A motorcycle courier takes a shortcut through the park.;0;1;1;under
