"scen","rule","condition","question","character.count","text_violation","purpose_violation","conflict","prop_conflict"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","A thief enters the laboratory overnight to find and steal equipment.",68,1,1,0,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A member of the public walks past the laboratory while going home.",66,0,0,0,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A recently retired scientist returns to collect his briefcase.",62,1,0,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A skilled technician enters the lab to discuss a job opening.",61,1,0,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A lab hiree visits the lab a week before her contract starts.",61,1,0,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A retired scientist visits the lab to offer advice to new hirees.",65,1,0,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A firefighter enters the lab to put out an impending fire.",58,1,0,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab scientist causes a safety hazard to spite his boss.",57,0,1,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab scientist performs a risky task while feeling dizzy and tired.",68,0,1,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab member stays after work and gets drunk in the laboratory.",63,0,1,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab member misuses hazardous equipment in a fit of rage.",58,0,1,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab member spends the night sleeping on fragile lab equipment.",64,0,1,1,"high"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","A thief enters the laboratory overnight to find and steal equipment.",68,1,1,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","A group of solicitors enter the laboratory to discuss religion.",63,1,1,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","A friendly neighbor enters the laboratory to greet the scientists.",66,1,1,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","An amateur scientist enters the laboratory to take photographs.",63,1,1,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","core","A student enters the laboratory to observe the scientists' work.",64,1,1,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A scientist working at the laboratory starts a new experiment.",62,0,0,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A member of the public walks past the laboratory while going home.",66,0,0,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A solicitor discusses religion across the street from the lab.",62,0,0,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A curious neighbor photographs the lab building from the outside.",65,0,0,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","off","A tourist walks past the laboratory on his way to the wax museum.",65,0,0,0,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","over","A retired scientist visits the lab to offer advice to new hirees.",65,1,0,1,"low"
"auth","To avoid accidents, the director of a scientific laboratory issued a rule: ""Access for Laboratory Personnel Only"".","under","A lab member spends the night sleeping on fragile lab equipment.",64,0,1,1,"low"
"cars","To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park"".","core","A red party limo drives through the park at the DJ's request.",61,1,1,0,"high"
