"subj_code","theory_question_binary","theory_question_bipolar","theory_question_bipolar_num"
"RoqXsdd7kmV0","spirit","more spirit than letter","4"
"5EZNV9BiS891","spirit","more spirit than letter","4"
"KuYIhvTzHiS4","letter","mostly letter","1"
"CXO4MnXVq8wA","letter","only letter","0"
"bbeyDn0PUWuE","letter","more letter than spirit","2"
"wHWCAzQ700Ny","letter","only letter","0"
"g1rDhZnud8rN","letter","mostly letter","1"
"FVFcrcoznOwp","letter","more letter than spirit","2"
"YKBW6ZuvQpnd","spirit","more spirit than letter","4"
"OKUvCFzzYE6H","letter","mostly letter","1"
"4eZLAABcZvxm","letter","more letter than spirit","2"
"0Dn9TNCc4hLv","letter","more letter than spirit","2"
"NqffK21ie787","letter","mostly letter","1"
"pkaF5sNlLJPR","letter","more letter than spirit","2"
"fRaT14GT4OjA","spirit","more spirit than letter","4"
"vOswNMO5z8iS","letter","only letter","0"
"90lIooVVYp5f","letter","mostly spirit","5"
"uw8eOWA2pDth","letter","more letter than spirit","2"
"QLPpSDO3vHuS","letter","only letter","0"
"lihAe8JtDeIl","letter","more letter than spirit","2"
"Gg28yDNKSlQ7","spirit","more spirit than letter","4"
"4JD1pwuOGYRI","spirit","mostly spirit","5"
"EyRzoxUw29tn","letter","mostly letter","1"
"eFG9CYmQATe4","spirit","more spirit than letter","4"
"qvko8Guyxlmp","spirit","both equally","3"
"1pOVWQ42uhp8","spirit","both equally","3"
"GU4ULPb6XV1w","spirit","more spirit than letter","4"
"alfkTQ4PmNiB","spirit","more spirit than letter","4"
"uZ5iwq8AUVyc","letter","more letter than spirit","2"
"zkTlZrgUYLh9","spirit","mostly spirit","5"
"Y7dF1DE793mA","letter","both equally","3"
"vvegNAj8xTTH","spirit","more spirit than letter","4"
"9tKsgVNTJzqv","letter","both equally","3"
"ZcrfoNki6xMC","letter","more letter than spirit","2"
"50t9Khc89nl5","spirit","more spirit than letter","4"
"9Y3EVxFNLXLR","letter","only letter","0"
"ttSti6YEileY","letter","mostly letter","1"
"tSEQEGiJJwbP","letter","more letter than spirit","2"
"kd7FRn00K0n4","letter","more letter than spirit","2"
"dg7iuxdFUDkI","spirit","more letter than spirit","2"
"uzs832FgaFPn","letter","only letter","0"
"ApNtcgVFR4dk","letter","mostly letter","1"
"1H4otZhW9P2n","spirit","only letter","0"
"1g1WFHUQxaTC","letter","more letter than spirit","2"
"uh46vg4hGp1t","letter","mostly letter","1"
"jQbclREtRVV8","letter","mostly letter","1"
"n3xjncyw3Az9","spirit","more letter than spirit","2"
"TvLALsOdBMQq","letter","mostly letter","1"
"lvi5J0yRVTqF","spirit","both equally","3"
"212qYOdsbJ1I","letter","only letter","0"
"p2aBhBMD3fQz","letter","only letter","0"
"2M5nfL4z0Wwv","letter","mostly letter","1"
"0SPkxIlZgcOz","letter","more letter than spirit","2"
"brHkndTLHmsN","letter","only letter","0"
"dVAcEx2gjGGl","spirit","more spirit than letter","4"
"K4cZX30UOznT","letter","more letter than spirit","2"
"Sq9jzGavdN06","spirit","more letter than spirit","2"
"pl46v62wdhP7","letter","mostly letter","1"
"iOxKxGuZbkDc","letter","mostly letter","1"
"hDxNHaL7CRN2","spirit","only letter","0"
"0y8KZsYAJQT8","letter","more letter than spirit","2"
"mnO40GkdV6eX","letter","more spirit than letter","4"
"lg8oHqujp1Hy","spirit","both equally","3"
"UHkjq2u9bWBe","letter","mostly letter","1"
"K6CIwMWgvYa0","spirit","more spirit than letter","4"
"mNcjo3UMzBVK","letter","more letter than spirit","2"
"EYf98PJiNzHu","letter","more letter than spirit","2"
"aO4K7r5tEJei","letter","mostly letter","1"
"hcbKoDPnBBvO","letter","more spirit than letter","4"
"IltewekOItSZ","letter","more spirit than letter","4"
"GN8V1kaoBte5","letter","more letter than spirit","2"
"CbEQXixgzDhh","letter","mostly letter","1"
"C8yUaprvtUjC","spirit","both equally","3"
"mPa8sUhBgzL9","spirit","more spirit than letter","4"
"osWtmcyLuM8t","letter","mostly letter","1"
"fNQMInjb7XzA","letter","only letter","0"
"Zr5RoeuGiylG","letter","both equally","3"
"2LW8IYWDGVGm","letter","more letter than spirit","2"
"fvu4Y4kZ3dmG","letter","more letter than spirit","2"
"sXHJeXwrc397","spirit","more spirit than letter","4"
"2OxC0SKfwBE7","spirit","more letter than spirit","2"
"82UQ5KSxXrTi","spirit","more spirit than letter","4"
"lt6i9teLDLd2","letter","both equally","3"
"dxyCMIyY33c5","spirit","mostly spirit","5"
"McjyZWm66XkU","spirit","more letter than spirit","2"
"qzLlYD6SBiMh","spirit","more letter than spirit","2"
"tpNmiyF5H4W8","spirit","mostly spirit","5"
"eyaQyeBorUkh","letter","mostly letter","1"
"sCgNqdVA6oEw","spirit","mostly spirit","5"
"Ql9BUVIZk59f","letter","more letter than spirit","2"
"b5J3ER8AfRKk","spirit","only letter","0"
"FhZN3P8Nj90Z","letter","mostly letter","1"
"FgBNfO8GkiuP","spirit","only letter","0"
"LwHLdKJSXGKc","letter","mostly letter","1"
"eVSMuLD62mch","spirit","mostly letter","1"
"n6KUzU0nm8Sx","spirit","only letter","0"
"NqjXB8UpfjJr","spirit","more spirit than letter","4"
"6oULQi5G38i7","spirit","both equally","3"
"PFZZ1fa53Vlw","letter","both equally","3"
"hNNuPjQPiw6q","letter","both equally","3"
"pq58v6jKWUUy","spirit","more spirit than letter","4"
"Dqh3kSlZcxAM","spirit","more spirit than letter","4"
"xq4AXWBWsbhW","spirit","mostly spirit","5"
"AblCKNOwsNM1","spirit","mostly spirit","5"
"e38NlfsgXcbJ","letter","both equally","3"
"CIZiqY9Hn1eh","letter","mostly letter","1"
"ZuoDI698ptnl","letter","more letter than spirit","2"
"MeObKv5Van36","letter","mostly letter","1"
"qzy5AwkpOCRX","letter","mostly letter","1"
"Df1lu4g30ykW","letter","mostly letter","1"
"QCbNuV04GNw4","spirit","more letter than spirit","2"
"wHr71Wu5Hd1h","spirit","mostly letter","1"
"VCrnpa6gYZwu","spirit","mostly letter","1"
