"subj_code","case","stimulus","text","purpose","trial_index","response","rt","condition","congruent","age","gender","handedness","comments"
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student hosts a Karaoke night in her room at 11 pm.</b><br>",1,1,6,1,3354,"full violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is knitting a scarf in his room at midnight.</b><br>",0,0,8,0,1567,"no violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student reads a novel in bed at 10 pm.</b><br>",0,0,10,0,2433,"no violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student plays his electric guitar in his room at midnight.</b><br>",1,1,12,1,2782,"full violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student drills some holes into the wall to hang pictures at 11:15 pm.</b><br>",1,1,14,1,2216,"full violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>Some students have a loud argument in the hallway at 11 pm.</b><br>",1,1,16,1,986,"full violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A group of students practice for a musical audition at 10:45 pm.</b><br>",1,1,18,1,1540,"full violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is firmly asleep in her bed at 10:30 pm.</b><br>",0,0,20,0,1589,"no violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is looking out the window at 11 pm.</b><br>",0,0,22,0,1598,"no violation",1,"22","female","righthanded",NA
"NJTKV6968E","noise","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student listens to a podcast with headphones on at 11:30 pm.</b><br>",0,0,24,0,2497,"no violation",1,"22","female","righthanded",NA
